,MAPE,MAE,RMSE,Parameters
66,0.9511647251255889,2.3256027045437695,3.6502893913848786,"{'changepoint_prior_scale': 0.5, 'fourier_order': 2, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative'}"
67,1.0811531452422278,2.627627902947754,4.186634329248522,"{'changepoint_prior_scale': 0.5, 'fourier_order': 2, 'n_changepoints': 100, 'seasonality_mode': 'additive'}"
68,0.9088401408983041,2.226140403464978,3.4636880321061927,"{'changepoint_prior_scale': 0.5, 'fourier_order': 2, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative'}"
69,1.12725069266308,2.746239284923322,4.394053632302838,"{'changepoint_prior_scale': 0.5, 'fourier_order': 2, 'n_changepoints': 150, 'seasonality_mode': 'additive'}"
70,0.9032363962880205,2.21573613690112,3.444331003739867,"{'changepoint_prior_scale': 0.5, 'fourier_order': 2, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative'}"
71,1.1319132530106026,2.7595752278525207,4.459695165462436,"{'changepoint_prior_scale': 0.5, 'fourier_order': 2, 'n_changepoints': 200, 'seasonality_mode': 'additive'}"
72,0.9411054215476676,2.2999062392398213,3.57921913379763,"{'changepoint_prior_scale': 0.5, 'fourier_order': 3, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative'}"
73,1.1137594482425053,2.714125993796463,4.352866010549934,"{'changepoint_prior_scale': 0.5, 'fourier_order': 3, 'n_changepoints': 100, 'seasonality_mode': 'additive'}"
74,0.9239943397270843,2.2643014428303303,3.4640031201704566,"{'changepoint_prior_scale': 0.5, 'fourier_order': 3, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative'}"
75,1.1363333860010179,2.7649006635511575,4.438862298361083,"{'changepoint_prior_scale': 0.5, 'fourier_order': 3, 'n_changepoints': 150, 'seasonality_mode': 'additive'}"
76,0.9335606227988024,2.2906715898584333,3.6020851051154166,"{'changepoint_prior_scale': 0.5, 'fourier_order': 3, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative'}"
77,1.0895117210171907,2.6575047181794162,4.2300496033924375,"{'changepoint_prior_scale': 0.5, 'fourier_order': 3, 'n_changepoints': 200, 'seasonality_mode': 'additive'}"
78,0.991354519377365,2.4237244196436825,3.737462328409791,"{'changepoint_prior_scale': 0.5, 'fourier_order': 4, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative'}"
79,1.1313566757806843,2.7579599055594444,4.430352614840011,"{'changepoint_prior_scale': 0.5, 'fourier_order': 4, 'n_changepoints': 100, 'seasonality_mode': 'additive'}"
80,0.9115224587366219,2.2321790907020294,3.456875544167654,"{'changepoint_prior_scale': 0.5, 'fourier_order': 4, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative'}"
81,1.1049518951753359,2.6898611861244355,4.282048919623305,"{'changepoint_prior_scale': 0.5, 'fourier_order': 4, 'n_changepoints': 150, 'seasonality_mode': 'additive'}"
82,0.9210675481616226,2.2565582178995087,3.5009556527311863,"{'changepoint_prior_scale': 0.5, 'fourier_order': 4, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative'}"
83,1.1021453385752273,2.688908861106035,4.2997138223770035,"{'changepoint_prior_scale': 0.5, 'fourier_order': 4, 'n_changepoints': 200, 'seasonality_mode': 'additive'}"
84,0.9455918185590286,2.30984673500019,3.6069846691502745,"{'changepoint_prior_scale': 0.5, 'fourier_order': 5, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative'}"
85,1.1250769949454713,2.738137061402688,4.362220473478973,"{'changepoint_prior_scale': 0.5, 'fourier_order': 5, 'n_changepoints': 100, 'seasonality_mode': 'additive'}"
86,0.9379196146762624,2.295895818344872,3.5917686027646765,"{'changepoint_prior_scale': 0.5, 'fourier_order': 5, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative'}"
87,1.1377776541426596,2.771148296511256,4.4477604826297075,"{'changepoint_prior_scale': 0.5, 'fourier_order': 5, 'n_changepoints': 150, 'seasonality_mode': 'additive'}"
88,0.953763596732503,2.335601437815965,3.6596548680435426,"{'changepoint_prior_scale': 0.5, 'fourier_order': 5, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative'}"
89,1.08153231585219,2.6374797276476794,4.198217526133003,"{'changepoint_prior_scale': 0.5, 'fourier_order': 5, 'n_changepoints': 200, 'seasonality_mode': 'additive'}"
90,0.9679621350019416,2.366474087995545,3.730147583169589,"{'changepoint_prior_scale': 1, 'fourier_order': 1, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative'}"
91,1.0825456839503316,2.6428778173234724,4.247076974408,"{'changepoint_prior_scale': 1, 'fourier_order': 1, 'n_changepoints': 100, 'seasonality_mode': 'additive'}"
92,0.9120014115239825,2.233923317330508,3.4655098876224213,"{'changepoint_prior_scale': 1, 'fourier_order': 1, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative'}"
93,1.061050599675316,2.5889585443009357,4.115412838444067,"{'changepoint_prior_scale': 1, 'fourier_order': 1, 'n_changepoints': 150, 'seasonality_mode': 'additive'}"
94,0.8862158567938501,2.1730259737706605,3.35602563034695,"{'changepoint_prior_scale': 1, 'fourier_order': 1, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative'}"
95,1.0794416808830227,2.636447965971547,4.191891904290171,"{'changepoint_prior_scale': 1, 'fourier_order': 1, 'n_changepoints': 200, 'seasonality_mode': 'additive'}"
96,0.9217127037524866,2.2527448594089745,3.522731676605743,"{'changepoint_prior_scale': 1, 'fourier_order': 2, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative'}"
97,1.0525607469680704,2.5717775723780885,4.106893068981755,"{'changepoint_prior_scale': 1, 'fourier_order': 2, 'n_changepoints': 100, 'seasonality_mode': 'additive'}"
98,0.9376421354080245,2.2900762324078685,3.43857944124499,"{'changepoint_prior_scale': 1, 'fourier_order': 2, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative'}"
99,1.066844439854277,2.606120292846318,4.143696671329412,"{'changepoint_prior_scale': 1, 'fourier_order': 2, 'n_changepoints': 150, 'seasonality_mode': 'additive'}"
100,0.8974854815719172,2.198984655514487,3.4243369802915042,"{'changepoint_prior_scale': 1, 'fourier_order': 2, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative'}"
101,1.0312885528907836,2.5238739796088527,4.010323218883213,"{'changepoint_prior_scale': 1, 'fourier_order': 2, 'n_changepoints': 200, 'seasonality_mode': 'additive'}"
102,0.9548433687257583,2.3359798747552154,3.676779707607895,"{'changepoint_prior_scale': 1, 'fourier_order': 3, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative'}"
103,1.0455683787391647,2.5545795385003416,4.072488859391951,"{'changepoint_prior_scale': 1, 'fourier_order': 3, 'n_changepoints': 100, 'seasonality_mode': 'additive'}"
104,0.8852436189113444,2.1705419853825556,3.3625664589896203,"{'changepoint_prior_scale': 1, 'fourier_order': 3, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative'}"
105,1.0724013932975733,2.6230749797914643,4.137602645003842,"{'changepoint_prior_scale': 1, 'fourier_order': 3, 'n_changepoints': 150, 'seasonality_mode': 'additive'}"
106,0.9232075202667599,2.26314734994164,3.5484938859287976,"{'changepoint_prior_scale': 1, 'fourier_order': 3, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative'}"
107,1.0447873873198095,2.5553634580798947,4.058274381910208,"{'changepoint_prior_scale': 1, 'fourier_order': 3, 'n_changepoints': 200, 'seasonality_mode': 'additive'}"
